,Date,Oil_Price,Oil_Vol,rf,ATM Call Price,ATM Put Price
0,2018-01-02,60.369998931884766,0.2272999954223633,0.012817503710614343,1.5051208373684237,1.6349850223245888
1,2018-01-03,61.630001068115234,0.2275,0.012817503710614343,1.6657152262458115,1.5358510412896538
2,2018-01-04,62.0099983215332,0.22120000839233397,0.012718772407774612,1.5717837498683136,1.5617958749047565
3,2018-01-05,61.439998626708984,0.22299999237060547,0.012620031356102198,1.5361267758560528,1.5960659442185452
4,2018-01-08,61.72999954223633,0.21899999618530275,0.01291622526654623,1.6590255200454727,1.4292700175009883
5,2018-01-09,62.959999084472656,0.22959999084472657,0.012620031356102198,1.6319444657862086,1.6719039113612082
6,2018-01-10,63.56999969482422,0.2352000045776367,0.013014937077494763,1.7421676105134145,1.6722427557864978
7,2018-01-11,63.79999923706055,0.2352000045776367,0.013113639145383204,1.6187255941447076,1.8185109057221462
8,2018-01-12,64.30000305175781,0.2352000045776367,0.013014937077494763,1.6321596294917808,1.8319427512150974
9,2018-01-16,63.72999954223633,0.2640999984741211,0.0132123314721349,2.036069590295579,1.8063196793567526
10,2018-01-17,63.970001220703125,0.24700000762939453,0.013014937077494763,1.7903342430937605,1.8203009492284967
11,2018-01-18,63.95000076293945,0.24379999160766602,0.012817503710614343,1.7567877484222774,1.8067343393498294
12,2018-01-19,63.369998931884766,0.21200000762939453,0.012718772407774612,1.4722127721877423,1.602078010983266
13,2018-01-22,63.4900016784668,0.22030000686645507,0.012620031356102198,1.5929332583206801,1.602921214343195
14,2018-01-23,64.47000122070312,0.2234000015258789,0.012521280553671691,1.6307378228279745,1.6607057448717601
15,2018-01-24,65.61000061035156,0.2393000030517578,0.01242251999855711,1.84750551104256,1.7376171571903665
16,2018-01-25,65.51000213623047,0.22350000381469726,0.012224969622568948,1.677498722600235,1.667506631389045
17,2018-01-26,66.13999938964844,0.22290000915527344,0.012323749688831903,1.75323627169424,1.6133786171635969
18,2018-01-29,65.55999755859375,0.2272999954223633,0.012718772407774612,1.7316394514963138,1.6717045802918824
19,2018-01-30,64.5,0.22899999618530273,0.014790085472635345,1.686993936873435,1.686993936873435
20,2018-01-31,64.7300033569336,0.22229999542236328,0.014198719399812928,1.7580781366376672,1.5283430412057788
21,2018-02-01,65.80000305175781,0.22239999771118163,0.01400151963581361,1.5760722554528894,1.7758391776239653
22,2018-02-02,65.44999694824219,0.23799999237060546,0.013902905168991434,1.7550408763277898,1.8049868220055216
23,2018-02-05,64.1500015258789,0.2590999984741211,0.013902905168991434,1.9720564595393983,1.8222262431875589
24,2018-02-06,63.38999938964844,0.2659000015258789,0.014691548742989682,1.8722478696744536,1.9821157317525782
25,2018-02-07,61.790000915527344,0.26790000915527346,0.013508350024792299,1.7908924458000592,2.000658502853098
26,2018-02-08,61.150001525878906,0.295,0.013113639145383204,2.1336301250824143,1.9837901887523637
27,2018-02-09,59.20000076293945,0.29850000381469727,0.013014937077494763,2.116393291575496,1.9166063592334006
28,2018-02-12,59.290000915527344,0.29420000076293945,0.01340968690991774,1.8926334759707868,2.1024012340859963
29,2018-02-13,59.189998626708984,0.30389999389648437,0.013311014059672416,2.147421052742891,1.9576301814931958
30,2018-02-14,60.599998474121094,0.2772999954223633,0.013113639145383204,1.9681699925076976,1.8682792420129184
31,2018-02-15,61.34000015258789,0.2756999969482422,0.01291622526654623,1.8553141530827855,2.0151442335767675
32,2018-02-16,61.68000030517578,0.2696999931335449,0.01340968690991774,1.9885229567270752,1.8087209324868454
33,2018-02-20,61.900001525878906,0.27579999923706056,0.01380428097639708,1.9018983196018455,2.0017833999509236
34,2018-02-21,61.68000030517578,0.26930000305175783,0.013902905168991434,1.985632049855034,1.8058373143690964
35,2018-02-22,62.77000045776367,0.24979999542236328,0.013311014059672416,1.681767566542593,1.911515614010978
36,2018-02-23,63.54999923706055,0.243700008392334,0.013705647056111967,1.7933468912560038,1.7434039462007647
37,2018-02-26,63.90999984741211,0.24360000610351562,0.01380428097639708,1.7349000271384243,1.8247981236012196
